SLR closure table
Goto	Kernel	State	Closure
goto(7, ALGORITHM)	{Program -> : STATEMENTS StatementList : ALGORITHM.CommandList}	10	{Program -> : STATEMENTS StatementList : ALGORITHM.CommandList; CommandList -> .Command CommandList; CommandList -> .Command; Command -> .AssignCmd; Command -> .InCmd; Command -> .OutCmd; Command -> .ConditionCmd; Command -> .RepeatCmd; Command -> .SubAlgorithm; AssignCmd -> .ASSIGN ArithmeticExpression TO VARIABLE; InCmd -> .READ VARIABLE; OutCmd -> .PRINT VARIABLE; OutCmd -> .PRINT STRING; ConditionCmd -> .IF RelationalExpression THEN Command; ConditionCmd -> .IF RelationalExpression THEN Command ELSE Command; RepeatCmd -> .WHILE RelationalExpression Command; SubAlgorithm -> .BEGIN CommandList END}
goto(9, VarType)	{Statement -> VARIABLE : VarType.}	11	{Statement -> VARIABLE : VarType.}
goto(9, INTEGER)	{VarType -> INTEGER.}	12	{VarType -> INTEGER.}
goto(9, REAL)	{VarType -> REAL.}	13	{VarType -> REAL.}
goto(10, CommandList)	{Program -> : STATEMENTS StatementList : ALGORITHM CommandList.}	14	{Program -> : STATEMENTS StatementList : ALGORITHM CommandList.}
goto(10, Command)	{CommandList -> Command.CommandList; CommandList -> Command.}	15	{CommandList -> Command.CommandList; CommandList -> Command.; CommandList -> .Command CommandList; CommandList -> .Command; Command -> .AssignCmd; Command -> .InCmd; Command -> .OutCmd; Command -> .ConditionCmd; Command -> .RepeatCmd; Command -> .SubAlgorithm; AssignCmd -> .ASSIGN ArithmeticExpression TO VARIABLE; InCmd -> .READ VARIABLE; OutCmd -> .PRINT VARIABLE; OutCmd -> .PRINT STRING; ConditionCmd -> .IF RelationalExpression THEN Command; ConditionCmd -> .IF RelationalExpression THEN Command ELSE Command; RepeatCmd -> .WHILE RelationalExpression Command; SubAlgorithm -> .BEGIN CommandList END}
goto(10, AssignCmd)	{Command -> AssignCmd.}	16	{Command -> AssignCmd.}
goto(10, InCmd)	{Command -> InCmd.}	17	{Command -> InCmd.}
goto(10, OutCmd)	{Command -> OutCmd.}	18	{Command -> OutCmd.}
goto(10, ConditionCmd)	{Command -> ConditionCmd.}	19	{Command -> ConditionCmd.}
goto(10, RepeatCmd)	{Command -> RepeatCmd.}	20	{Command -> RepeatCmd.}
goto(10, SubAlgorithm)	{Command -> SubAlgorithm.}	21	{Command -> SubAlgorithm.}
goto(10, ASSIGN)	{AssignCmd -> ASSIGN.ArithmeticExpression TO VARIABLE}	22	{AssignCmd -> ASSIGN.ArithmeticExpression TO VARIABLE; ArithmeticExpression -> .ArithmeticExpression + ArithmeticTerm; ArithmeticExpression -> .ArithmeticExpression - ArithmeticTerm; ArithmeticExpression -> .ArithmeticTerm; ArithmeticTerm -> .ArithmeticTerm * ArithmeticFactor; ArithmeticTerm -> .ArithmeticTerm / ArithmeticFactor; ArithmeticTerm -> .ArithmeticFactor; ArithmeticFactor -> .NUMINT; ArithmeticFactor -> .NUMREAL; ArithmeticFactor -> .VARIABLE; ArithmeticFactor -> .( ArithmeticExpression )}
goto(10, READ)	{InCmd -> READ.VARIABLE}	23	{InCmd -> READ.VARIABLE}
goto(10, PRINT)	{OutCmd -> PRINT.VARIABLE; OutCmd -> PRINT.STRING}	24	{OutCmd -> PRINT.VARIABLE; OutCmd -> PRINT.STRING}
goto(10, IF)	{ConditionCmd -> IF.RelationalExpression THEN Command; ConditionCmd -> IF.RelationalExpression THEN Command ELSE Command}	25	{ConditionCmd -> IF.RelationalExpression THEN Command; ConditionCmd -> IF.RelationalExpression THEN Command ELSE Command; RelationalExpression -> .RelationalExpression BooleanOperator RelationalTerm; RelationalExpression -> .RelationalTerm; RelationalTerm -> .ArithmeticExpression OP_REL ArithmeticExpression; RelationalTerm -> .( RelationalExpression ); ArithmeticExpression -> .ArithmeticExpression + ArithmeticTerm; ArithmeticExpression -> .ArithmeticExpression - ArithmeticTerm; ArithmeticExpression -> .ArithmeticTerm; ArithmeticTerm -> .ArithmeticTerm * ArithmeticFactor; ArithmeticTerm -> .ArithmeticTerm / ArithmeticFactor; ArithmeticTerm -> .ArithmeticFactor; ArithmeticFactor -> .NUMINT; ArithmeticFactor -> .NUMREAL; ArithmeticFactor -> .VARIABLE; ArithmeticFactor -> .( ArithmeticExpression )}
goto(10, WHILE)	{RepeatCmd -> WHILE.RelationalExpression Command}	26	{RepeatCmd -> WHILE.RelationalExpression Command; RelationalExpression -> .RelationalExpression BooleanOperator RelationalTerm; RelationalExpression -> .RelationalTerm; RelationalTerm -> .ArithmeticExpression OP_REL ArithmeticExpression; RelationalTerm -> .( RelationalExpression ); ArithmeticExpression -> .ArithmeticExpression + ArithmeticTerm; ArithmeticExpression -> .ArithmeticExpression - ArithmeticTerm; ArithmeticExpression -> .ArithmeticTerm; ArithmeticTerm -> .ArithmeticTerm * ArithmeticFactor; ArithmeticTerm -> .ArithmeticTerm / ArithmeticFactor; ArithmeticTerm -> .ArithmeticFactor; ArithmeticFactor -> .NUMINT; ArithmeticFactor -> .NUMREAL; ArithmeticFactor -> .VARIABLE; ArithmeticFactor -> .( ArithmeticExpression )}
goto(10, BEGIN)	{SubAlgorithm -> BEGIN.CommandList END}	27	{SubAlgorithm -> BEGIN.CommandList END; CommandList -> .Command CommandList; CommandList -> .Command; Command -> .AssignCmd; Command -> .InCmd; Command -> .OutCmd; Command -> .ConditionCmd; Command -> .RepeatCmd; Command -> .SubAlgorithm; AssignCmd -> .ASSIGN ArithmeticExpression TO VARIABLE; InCmd -> .READ VARIABLE; OutCmd -> .PRINT VARIABLE; OutCmd -> .PRINT STRING; ConditionCmd -> .IF RelationalExpression THEN Command; ConditionCmd -> .IF RelationalExpression THEN Command ELSE Command; RepeatCmd -> .WHILE RelationalExpression Command; SubAlgorithm -> .BEGIN CommandList END}
goto(15, CommandList)	{CommandList -> Command CommandList.}	28	{CommandList -> Command CommandList.}
goto(15, Command)	{CommandList -> Command.CommandList; CommandList -> Command.}	15	 
goto(15, AssignCmd)	{Command -> AssignCmd.}	16	 
goto(15, InCmd)	{Command -> InCmd.}	17	 
goto(15, OutCmd)	{Command -> OutCmd.}	18	 
goto(15, ConditionCmd)	{Command -> ConditionCmd.}	19	 
goto(15, RepeatCmd)	{Command -> RepeatCmd.}	20	 
goto(15, SubAlgorithm)	{Command -> SubAlgorithm.}	21	 
goto(15, ASSIGN)	{AssignCmd -> ASSIGN.ArithmeticExpression TO VARIABLE}	22	 
goto(15, READ)	{InCmd -> READ.VARIABLE}	23	 
goto(15, PRINT)	{OutCmd -> PRINT.VARIABLE; OutCmd -> PRINT.STRING}	24	 
goto(15, IF)	{ConditionCmd -> IF.RelationalExpression THEN Command; ConditionCmd -> IF.RelationalExpression THEN Command ELSE Command}	25	 
goto(15, WHILE)	{RepeatCmd -> WHILE.RelationalExpression Command}	26	 
goto(15, BEGIN)	{SubAlgorithm -> BEGIN.CommandList END}	27	 
